2019-06-08 15:05:03.100020	  google	purchase	water
2019-06-08 15:05:03.100335	  yahoo	 page_view	 wheet
2019-06-08 15:05:03.100563	  google	purchase	 axe
2019-06-08 15:05:03.100814	facebook	purchase	 a table
2019-06-08 15:05:03.100937	  google	 page_view	 chicken
2019-06-08 15:05:03.101222	  yahoo	 add_to_cart	 table
2019-06-08 15:05:03.101472	 bing	 page_view	 rocket fire
2019-06-08 15:05:03.101612	  yahoo	 page_view	 chicken
2019-06-08 15:05:03.101824	  twitter	 page_view	 axe
2019-06-08 15:05:03.101959	  yahoo	 page_view	 bread
2019-06-08 15:05:03.102358	  google	purchase	 house
2019-06-08 15:05:03.102494	facebook	purchase	 fire rocket
2019-06-08 15:05:03.102802	  twitter	 page_view	 flour
2019-06-08 15:05:03.103035	 bing	 add_to_cart	 shirt
2019-06-08 15:05:03.103171	  yahoo	purchase	 chicken
2019-06-08 15:05:03.103381	  twitter	 add_to_cart	 pants
2019-06-08 15:05:03.103517	  twitter	purchase	 coat
2019-06-08 15:05:03.103919	  yahoo	purchase	 table
2019-06-08 15:05:03.104055	 bing	 add_to_cart	 werehouse
2019-06-08 15:05:03.104338	  twitter	 add_to_cart	 sword
2019-06-08 15:05:03.104504	  twitter	 add_to_cart	 a table
2019-06-08 15:05:03.104632	  google	 page_view	 axe
2019-06-08 15:05:03.104753	facebook	 add_to_cart	 fire rocket
2019-06-08 15:05:03.104873	  google	purchase	 bread
2019-06-08 15:05:03.104994	  google	 add_to_cart	 wheet
2019-06-08 15:05:03.105112	  yahoo	 page_view	 house
2019-06-08 15:05:03.105228	  yahoo	 add_to_cart	 bread
2019-06-08 15:05:03.105345	 bing	 page_view	 bruhkfest
2019-06-08 15:05:03.105463	  twitter	 page_view	 chardonei
2019-06-08 15:05:03.105579	  google	 add_to_cart	 coat
2019-06-08 15:05:03.105707	  yahoo	purchase	 pants
2019-06-08 15:05:03.105897	 bing	 add_to_cart	 fire rocket
2019-06-08 15:05:03.106046	  google	purchase	 rug
2019-06-08 15:05:03.106316	  twitter	purchase	 chardonei
2019-06-08 15:05:03.106594	  google	 add_to_cart	 not water
2019-06-08 15:05:03.106845	  twitter	 add_to_cart	 wheet
2019-06-08 15:05:03.107004	  twitter	 add_to_cart	 chardonei
2019-06-08 15:05:03.107130	facebook	purchase	 chicken
2019-06-08 15:05:03.107255	 bing	 page_view	 chardonei
2019-06-08 15:05:03.107375	 bing	purchase	 flour
2019-06-08 15:05:03.107494	  twitter	 page_view	 a table
2019-06-08 15:05:03.107613	 bing	purchase	 pants
2019-06-08 15:05:03.107732	facebook	 add_to_cart	 sword
2019-06-08 15:05:03.107850	  yahoo	 page_view	 not water
2019-06-08 15:05:03.107969	facebook	 add_to_cart	 bread
2019-06-08 15:05:03.108089	  yahoo	 add_to_cart	 chair
2019-06-08 15:05:03.108206	  yahoo	 add_to_cart	 sword
2019-06-08 15:05:03.108324	 bing	 page_view	 shirt
2019-06-08 15:05:03.108442	  google	purchase	 fire rocket
2019-06-08 15:05:03.108561	  twitter	purchase	 steak
2019-06-08 15:05:03.108680	 bing	 page_view	 table
2019-06-08 15:05:03.108797	  twitter	 page_view	 rug
2019-06-08 15:05:03.108917	  yahoo	 page_view	 pants
2019-06-08 15:05:03.109034	 bing	 page_view	 axe
2019-06-08 15:05:03.109152	  yahoo	 page_view	 flour
2019-06-08 15:05:03.109286	  google	 add_to_cart	 table
2019-06-08 15:05:03.109409	 bing	 add_to_cart	 not water
2019-06-08 15:05:03.109531	 bing	 add_to_cart	water
2019-06-08 15:05:03.109652	  yahoo	purchase	 not water
2019-06-08 15:05:03.109774	 bing	 page_view	 axe
2019-06-08 15:05:03.109909	  yahoo	purchase	 rocket fire
2019-06-08 15:05:03.110101	  google	 page_view	 boots
2019-06-08 15:05:03.110242	  twitter	 add_to_cart	 a table
2019-06-08 15:05:03.110363	  yahoo	 page_view	 chair
2019-06-08 15:05:03.110479	  yahoo	 add_to_cart	 chicken
2019-06-08 15:05:03.110594	  google	 add_to_cart	 rug
2019-06-08 15:05:03.110710	 bing	 add_to_cart	 chair
2019-06-08 15:05:03.110824	facebook	 add_to_cart	 wine
2019-06-08 15:05:03.110939	  twitter	 page_view	 shirt
2019-06-08 15:05:03.111052	facebook	purchase	 chardonei
2019-06-08 15:05:03.111165	 bing	 add_to_cart	 flour
2019-06-08 15:05:03.111279	  google	 add_to_cart	 shirt
2019-06-08 15:05:03.111393	  google	purchase	 wheet
2019-06-08 15:05:03.111512	facebook	 page_view	 wheet
2019-06-08 15:05:03.111705	  yahoo	 add_to_cart	 chicken
2019-06-08 15:05:03.111831	  yahoo	 page_view	 coat
2019-06-08 15:05:03.112170	 bing	 add_to_cart	 rocket fire
